paper,id,title,similar_arxiv_ids
wk_paper_1,11,SWIFT-Review: a text-mining workbench for systematic review,"['1811.01136', '1604.03540', '1511.08630', '1511.06038', '1509.01626', '1607.04492', '1606.01549', '1805.02474', '1607.01759', '1903.11410', '1811.09386', '1412.1058', '1706.09579', '1603.01547', '1709.08624', '1806.02559', '1711.09724', '1812.01207', '1703.06520', '1602.06023', '1512.03385', '1506.03767', '1612.03144', '1506.07503', '1703.05693']"
wk_paper_2,12,Using a neural network-based feature extraction method to facilitate citation screening for systematic reviews,"['1804.09337', '1706.08090', '1703.10896', '1703.04247', '1804.00823', '1406.6909', '1612.03144', '1511.08630', '1603.04351', '1704.03976', '1611.00850', '1708.01101', '1603.05474', '1802.06955', '1611.00144', '1609.05158', '1509.05371', '1604.01850', '1506.07503', '1807.04067', '1603.06042', '1207.0580', '1503.03244', '1704.03373', '1409.3215']"
wk_paper_3,13,A Multi-Channel Convolutional Neural Network approach to automate the citation screening process,"['1902.01313', '1407.4023', '1501.05759', '1509.05371', '1812.05050', '1503.03244', '1503.04596', '1705.03122', '1511.08630', '1807.09956', '1506.03767', '1711.04434', '1805.08090', '1711.00199', '1511.04491', '1603.01547', '1810.04650', '1412.6806', '1612.01465', '1901.11504', '1712.06116', '1806.07789', '1512.04412', '1603.05474', '1406.6909']"
an_paper_1,31,Medical concept normalization in social media posts with recurrent neural networks,"['1303.5778', '1511.06732', '1710.02224', '1601.06759', '1611.01576', '1606.04797', '1403.6652', '1802.06955', '1609.01704', '1711.08028', '1707.09531', '1502.03240', '1712.01034', '1409.3215', '1505.03540', '1406.6909', '1805.02704', '1610.10099', '1806.04185', '1804.00823', '1509.08985', '1603.05027', '1511.05493', '1611.05774', '1505.07818']"
an_paper_2,32,Deep Contextualized Medical Concept Normalization in Social Media Text,"['1802.05365', '1403.6652', '1606.04797', '1712.01034', '1603.05027', '1703.06520', '1802.06955', '1406.4729', '1511.08630', '1507.00814', '1806.04185', '1707.02968', '1511.06038', '1509.01626', '1607.04492', '1606.01549', '1805.02474', '1811.09386', '1607.01759', '1903.11410', '1603.01547', '1610.10099', '1512.03385', '1804.03287', '1808.06281']"
yg_paper_1,41,Predicting Users’ Domain Knowledge in Information Retrieval Using Multiple Regression Analysis of Search Behaviors,"['1505.07818', '1703.05693', '1806.06228', '1706.02596', '1803.02188', '1703.10896', '1702.05464', '1606.07947', '1712.06116', '1808.07018', '1604.01850', '1802.04394', '1611.02200', '1701.01879', '1409.7495', '1503.03578', '1703.07834', '1610.03771', '1606.02960', '1604.02426', '1711.08585', '1807.06653', '1611.01587', '1704.00138', '1711.04289']"
yg_paper_2,42,Predicting User Knowledge Gain in Informational Search Sessions,"['1611.00144', '1606.07947', '1706.02596', '1808.07018', '1604.01850', '1701.01879', '1606.02960', '1601.02376', '1711.04289', '1901.09590', '1703.10896', '1603.02814', '1802.04394', '1610.10099', '1808.06281', '1603.05027', '1811.12608', '1707.09531', '1701.05360', '1707.08052', '1406.4729', '1609.05284', '1610.05256', '1706.08090', '1507.00814']"
yg_paper_3,43,Analyzing Knowledge Gain of Users in Informational Search Sessions on the Web,"['1706.02596', '1603.02814', '1606.07947', '1808.07018', '1808.09075', '1604.01850', '1811.12608', '1701.05360', '1602.02410', '1701.01879', '1606.02960', '1408.1717', '1612.01465', '1711.04289', '1901.09590', '1707.02968', '1803.02188', '1606.02858', '1701.06538', '1802.08352', '1712.02616', '1807.09956', '1802.04394', '1701.06264', '1704.08545']"
yg_paper_4,44,Topic‐independent modeling of user knowledge in informational search sessions,"['1706.02596', '1602.02410', '1611.00144', '1606.07947', '1808.07018', '1604.01850', '1701.01879', '1606.02960', '1601.02376', '1809.08370', '1711.04289', '1809.02279', '1901.09590', '1707.02968', '1806.06228', '1712.02616', '1808.09075', '1603.02814', '1802.04394', '1412.1454', '1505.07818', '1611.01462', '1610.10099', '1808.06281', '1603.05027']"
ae_paper_1,51,Discourse-driven argument mining in scientific abstracts,"['1709.08325', '1811.01136', '1604.03540', '1610.10099', '1808.06281', '1603.05027', '1811.12608', '1707.09531', '1701.05360', '1707.08052', '1406.4729', '1609.05284', '1610.05256', '1706.08090', '1507.00814', '1612.01465', '1611.08323', '1707.02968', '1811.00405', '1803.02188', '1607.06153', '1804.01005', '1711.00199', '1703.06520', '1509.08985']"
ae_paper_2,52,Transferring knowledge from discourse to arguments: A case study with scientific abstracts,"['1601.02376', '1701.00295', '1606.07947', '1711.04289', '1808.07018', '1511.02793', '1708.07517', '1409.3215', '1807.01270', '1901.09590', '1611.01722', '1611.07004', '1706.02596', '1604.02426', '1804.00823', '1603.02814', '1802.08352', '1711.08488', '1903.09359', '1612.00603', '1711.07399', '1902.01275', '1804.01654', '1603.08182', '1708.09200']"
