,paper,arxiv_id,task,type,value,additional_info
0,0_paper_0,1611.08323,Real-Time Semantic Segmentation,data_name,Cityscapes,
1,0_paper_0,1611.08323,Real-Time Semantic Segmentation,approach_name,FRRN,Real-Time Semantic Segmentation
2,0_paper_0,1611.08323,Real-Time Semantic Segmentation,approach_name,FRRN,Semantic Segmentation
3,0_paper_1,1611.08323,Real-Time Semantic Segmentation,data_name,Cityscapes,
4,0_paper_1,1611.08323,Real-Time Semantic Segmentation,approach_name,FRRN,Real-Time Semantic Segmentation
5,0_paper_1,1611.08323,Real-Time Semantic Segmentation,approach_name,FRRN,Semantic Segmentation
6,0_paper_2,1611.08323,Real-Time Semantic Segmentation,data_name,Cityscapes,
7,0_paper_2,1611.08323,Real-Time Semantic Segmentation,approach_name,FRRN,Real-Time Semantic Segmentation
8,0_paper_2,1611.08323,Real-Time Semantic Segmentation,approach_name,FRRN,Semantic Segmentation
9,0_paper_3,1704.08545,Real-Time Semantic Segmentation,data_name,Cityscapes,
10,0_paper_3,1704.08545,Real-Time Semantic Segmentation,data_name,CamVid,
11,0_paper_3,1704.08545,Real-Time Semantic Segmentation,approach_name,ICNet,Semantic Segmentation
12,0_paper_3,1704.08545,Real-Time Semantic Segmentation,approach_name,ICNet,Real-Time Semantic Segmentation
13,0_paper_4,1704.08545,Real-Time Semantic Segmentation,data_name,Cityscapes,
14,0_paper_4,1704.08545,Real-Time Semantic Segmentation,data_name,CamVid,
15,0_paper_4,1704.08545,Real-Time Semantic Segmentation,approach_name,ICNet,Semantic Segmentation
16,0_paper_4,1704.08545,Real-Time Semantic Segmentation,approach_name,ICNet,Real-Time Semantic Segmentation
17,0_paper_5,1704.08545,Real-Time Semantic Segmentation,data_name,Cityscapes,
18,0_paper_5,1704.08545,Real-Time Semantic Segmentation,data_name,CamVid,
19,0_paper_5,1704.08545,Real-Time Semantic Segmentation,approach_name,ICNet,Semantic Segmentation
20,0_paper_5,1704.08545,Real-Time Semantic Segmentation,approach_name,ICNet,Real-Time Semantic Segmentation
21,0_paper_6,1704.08545,Real-Time Semantic Segmentation,data_name,Cityscapes,
22,0_paper_6,1704.08545,Real-Time Semantic Segmentation,data_name,CamVid,
23,0_paper_6,1704.08545,Real-Time Semantic Segmentation,approach_name,ICNet,Semantic Segmentation
24,0_paper_6,1704.08545,Real-Time Semantic Segmentation,approach_name,ICNet,Real-Time Semantic Segmentation
25,0_paper_7,1704.08545,Real-Time Semantic Segmentation,data_name,Cityscapes,
26,0_paper_7,1704.08545,Real-Time Semantic Segmentation,data_name,CamVid,
27,0_paper_7,1704.08545,Real-Time Semantic Segmentation,approach_name,ICNet,Semantic Segmentation
