,Unnamed: 0,paper_1,paper_2,paper_1_id,paper_2_id,arxiv_id_1,arxiv_id_2,task,datasets_diff,approach_diff
0,0,0_paper_2,0_paper_12,10,11,1611.08323,1511.07122,Real-Time Semantic Segmentation,"sent: Article 1 and Article 2 use Cityscapes dataset. sent: Article 1 does not use specific datasets for experiments, while Article 2 uses multiple datasets:  CamVid,  PASCAL VOC 2012, and  ADE20K.","sent: Article 1 uses FRRN approach for Real-Time Semantic Segmentation, while Article 2 uses Dilation10 for Real-Time Semantic Segmentation. sent: Article 1 uses FRRN approach for Real-Time Semantic Segmentation, while Article 2 uses Dilated Convolutions for Real-Time Semantic Segmentation. sent: Article 1 uses FRRN approach for Real-Time Semantic Segmentation, while Article 2 uses DilatedNet for Real-Time Semantic Segmentation. sent: Article 1 uses FRRN approach for Semantic Segmentation, while Article 2 uses Dilation10 for Semantic Segmentation. sent: Article 1 uses FRRN approach for Semantic Segmentation, while Article 2 uses Dilated Convolutions for Semantic Segmentation. sent: Article 1 uses FRRN approach for Semantic Segmentation, while Article 2 uses DilatedNet for Semantic Segmentation."
1,1,0_paper_2,0_paper_7,10,12,1611.08323,1704.08545,Real-Time Semantic Segmentation,"sent: Article 1 and Article 2 use Cityscapes dataset. sent: Article 1 does not use specific datasets for experiments, while Article 2 uses CamVid dataset.","sent: Article 1 uses FRRN approach for Real-Time Semantic Segmentation, while Article 2 uses ICNet for Real-Time Semantic Segmentation. sent: Article 1 uses FRRN approach for Semantic Segmentation, while Article 2 uses ICNet for Semantic Segmentation."
2,2,0_paper_2,0_paper_9,10,18,1611.08323,1502.0324,Real-Time Semantic Segmentation,"sent: Article 1 and Article 2 use Cityscapes dataset. sent: Article 1 does not use specific datasets for experiments, while Article 2 uses multiple datasets:  PASCAL VOC 2012, and  PASCAL Context.","sent: Article 1 uses FRRN approach for Real-Time Semantic Segmentation, while Article 2 uses CRF-RNN for Real-Time Semantic Segmentation. sent: Article 1 uses FRRN approach for Semantic Segmentation, while Article 2 uses CRF-RNN for Semantic Segmentation."
3,3,0_paper_12,0_paper_7,11,12,1511.07122,1704.08545,Real-Time Semantic Segmentation,"sent: Article 1 and Article 2 use CamVid dataset.sent: Article 1 and Article 2 use Cityscapes dataset. sent: Article 1 uses multiple datasets:  PASCAL VOC 2012, and  ADE20K, while Article 2 does not use specific datasets for experiments.","sent: Article 1 uses Dilation10 approach for Real-Time Semantic Segmentation, while Article 2 uses ICNet for Real-Time Semantic Segmentation. sent: Article 1 uses Dilated Convolutions approach for Real-Time Semantic Segmentation, while Article 2 uses ICNet for Real-Time Semantic Segmentation. sent: Article 1 uses DilatedNet approach for Real-Time Semantic Segmentation, while Article 2 uses ICNet for Real-Time Semantic Segmentation. sent: Article 1 uses Dilation10 approach for Semantic Segmentation, while Article 2 uses ICNet for Semantic Segmentation. sent: Article 1 uses Dilated Convolutions approach for Semantic Segmentation, while Article 2 uses ICNet for Semantic Segmentation. sent: Article 1 uses DilatedNet approach for Semantic Segmentation, while Article 2 uses ICNet for Semantic Segmentation."
4,4,0_paper_12,0_paper_9,11,18,1511.07122,1502.0324,Real-Time Semantic Segmentation,"sent: Article 1 and Article 2 use PASCAL VOC 2012 dataset.sent: Article 1 and Article 2 use Cityscapes dataset. sent: Article 1 uses multiple datasets:  CamVid, and  ADE20K, while Article 2 uses PASCAL Context dataset.","sent: Article 1 uses Dilation10 approach for Real-Time Semantic Segmentation, while Article 2 uses CRF-RNN for Real-Time Semantic Segmentation. sent: Article 1 uses Dilated Convolutions approach for Real-Time Semantic Segmentation, while Article 2 uses CRF-RNN for Real-Time Semantic Segmentation. sent: Article 1 uses DilatedNet approach for Real-Time Semantic Segmentation, while Article 2 uses CRF-RNN for Real-Time Semantic Segmentation. sent: Article 1 uses Dilation10 approach for Semantic Segmentation, while Article 2 uses CRF-RNN for Semantic Segmentation. sent: Article 1 uses Dilated Convolutions approach for Semantic Segmentation, while Article 2 uses CRF-RNN for Semantic Segmentation. sent: Article 1 uses DilatedNet approach for Semantic Segmentation, while Article 2 uses CRF-RNN for Semantic Segmentation."
5,5,0_paper_12,0_paper_1,11,114,1511.07122,1611.08323,Real-Time Semantic Segmentation,"sent: Article 1 and Article 2 use Cityscapes dataset. sent: Article 1 uses multiple datasets:  CamVid,  PASCAL VOC 2012, and  ADE20K, while Article 2 does not use specific datasets for experiments.","sent: Article 1 uses Dilation10 approach for Real-Time Semantic Segmentation, while Article 2 uses FRRN for Real-Time Semantic Segmentation. sent: Article 1 uses Dilated Convolutions approach for Real-Time Semantic Segmentation, while Article 2 uses FRRN for Real-Time Semantic Segmentation. sent: Article 1 uses DilatedNet approach for Real-Time Semantic Segmentation, while Article 2 uses FRRN for Real-Time Semantic Segmentation. sent: Article 1 uses Dilation10 approach for Semantic Segmentation, while Article 2 uses FRRN for Semantic Segmentation. sent: Article 1 uses Dilated Convolutions approach for Semantic Segmentation, while Article 2 uses FRRN for Semantic Segmentation. sent: Article 1 uses DilatedNet approach for Semantic Segmentation, while Article 2 uses FRRN for Semantic Segmentation."
6,6,0_paper_7,0_paper_16,12,13,1704.08545,1511.07122,Real-Time Semantic Segmentation,"sent: Article 1 and Article 2 use CamVid dataset.sent: Article 1 and Article 2 use Cityscapes dataset. sent: Article 1 does not use specific datasets for experiments, while Article 2 uses multiple datasets:  PASCAL VOC 2012, and  ADE20K.","sent: Article 1 uses ICNet approach for Real-Time Semantic Segmentation, while Article 2 uses Dilation10 for Real-Time Semantic Segmentation. sent: Article 1 uses ICNet approach for Real-Time Semantic Segmentation, while Article 2 uses Dilated Convolutions for Real-Time Semantic Segmentation. sent: Article 1 uses ICNet approach for Real-Time Semantic Segmentation, while Article 2 uses DilatedNet for Real-Time Semantic Segmentation. sent: Article 1 uses ICNet approach for Semantic Segmentation, while Article 2 uses Dilation10 for Semantic Segmentation. sent: Article 1 uses ICNet approach for Semantic Segmentation, while Article 2 uses Dilated Convolutions for Semantic Segmentation. sent: Article 1 uses ICNet approach for Semantic Segmentation, while Article 2 uses DilatedNet for Semantic Segmentation."
7,7,0_paper_7,0_paper_9,12,18,1704.08545,1502.0324,Real-Time Semantic Segmentation,"sent: Article 1 and Article 2 use Cityscapes dataset. sent: Article 1 uses CamVid dataset, while Article 2 uses multiple datasets:  PASCAL VOC 2012, and  PASCAL Context.","sent: Article 1 uses ICNet approach for Real-Time Semantic Segmentation, while Article 2 uses CRF-RNN for Real-Time Semantic Segmentation. sent: Article 1 uses ICNet approach for Semantic Segmentation, while Article 2 uses CRF-RNN for Semantic Segmentation."
8,8,0_paper_7,0_paper_1,12,114,1704.08545,1611.08323,Real-Time Semantic Segmentation,"sent: Article 1 and Article 2 use Cityscapes dataset. sent: Article 1 uses CamVid dataset, while Article 2 does not use specific datasets for experiments.","sent: Article 1 uses ICNet approach for Real-Time Semantic Segmentation, while Article 2 uses FRRN for Real-Time Semantic Segmentation. sent: Article 1 uses ICNet approach for Semantic Segmentation, while Article 2 uses FRRN for Semantic Segmentation."
9,9,0_paper_9,0_paper_5,18,19,1502.0324,1704.08545,Real-Time Semantic Segmentation,"sent: Article 1 and Article 2 use Cityscapes dataset. sent: Article 1 uses multiple datasets:  PASCAL VOC 2012, and  PASCAL Context, while Article 2 uses CamVid dataset.","sent: Article 1 uses CRF-RNN approach for Real-Time Semantic Segmentation, while Article 2 uses ICNet for Real-Time Semantic Segmentation. sent: Article 1 uses CRF-RNN approach for Semantic Segmentation, while Article 2 uses ICNet for Semantic Segmentation."
